"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Пустое поле Name при логине","537","Оставить Поле имя пустым","Sauce Demo SmokeTest","Thu Dec 12 16:50:38 GMT 2024","passed","Thu Dec 12 16:50:39 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkEmptyNameDuringLogin"
"Проверка валидного логина","857","Проверить позитивный логин","Sauce Demo SmokeTest","Thu Dec 12 16:50:36 GMT 2024","passed","Thu Dec 12 16:50:36 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Проверка кнопки Continue Shopping","927","Check that click on Continue Sopping Button leads to Main page","Sauce Demo SmokeTest","Thu Dec 12 16:51:11 GMT 2024","passed","Thu Dec 12 16:51:12 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","continueShopping"
"Цикл тестов LoginData с разными данными логин/пароль","594","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:45 GMT 2024","passed","Thu Dec 12 16:50:45 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","test"
"Пустое поле Name при логине","606","Оставить Поле имя пустым","Sauce Demo SmokeTest","Thu Dec 12 16:50:51 GMT 2024","passed","Thu Dec 12 16:50:52 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkEmptyNameDuringLogin"
"Проверка добавления товара в корзину по имени товара","801","Check added products by name","Sauce Demo SmokeTest","Thu Dec 12 16:50:37 GMT 2024","passed","Thu Dec 12 16:50:38 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addToCartAndCheckByName"
"Ввести невалидный пароль","598","Ввести неправильный пароль","Sauce Demo SmokeTest","Thu Dec 12 16:50:55 GMT 2024","passed","Thu Dec 12 16:50:56 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkIncorrectPasswordDuringLogin"
"Цикл тестов LoginData с разными данными логин/пароль","640","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:35 GMT 2024","passed","Thu Dec 12 16:50:35 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Ввести невалидное имя пользователя","663","Ввести неправильное имя юзера","Sauce Demo SmokeTest","Thu Dec 12 16:51:01 GMT 2024","passed","Thu Dec 12 16:51:01 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkIncorrectUserNameDuringLogin"
"Проверка добавления товара в корзину по цене товара","743","Check added products by price","Sauce Demo SmokeTest","Thu Dec 12 16:50:39 GMT 2024","passed","Thu Dec 12 16:50:40 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addToCartAndCheckByPrice"
"Проверка валидного логина","823","Проверить позитивный логин","Sauce Demo SmokeTest","Thu Dec 12 16:50:47 GMT 2024","passed","Thu Dec 12 16:50:47 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"Пустое поле Password при логине","755","Оставить поле Пароль пустым","Sauce Demo SmokeTest","Thu Dec 12 16:50:56 GMT 2024","passed","Thu Dec 12 16:50:57 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkEmptyPasswordDuringLogin"
"Проверка удаления нескольких товаров из корзины","11014","Remove 2 products from the cart","Sauce Demo SmokeTest","Thu Dec 12 16:50:56 GMT 2024","passed","Thu Dec 12 16:51:07 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","removeMultipleItems"
"Проверка удаления нескольких товаров из корзины","1417","Remove 2 products from the cart","Sauce Demo SmokeTest","Thu Dec 12 16:51:08 GMT 2024","passed","Thu Dec 12 16:51:09 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeMultipleItems"
"Ввести невалидный пароль","683","Ввести неправильный пароль","Sauce Demo SmokeTest","Thu Dec 12 16:51:05 GMT 2024","passed","Thu Dec 12 16:51:06 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkIncorrectPasswordDuringLogin"
"Цикл тестов LoginData с разными данными логин/пароль","567","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:43 GMT 2024","passed","Thu Dec 12 16:50:43 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","test"
"Проверка добавления нескольких товаров в корзину","977","Add multiple products to the cart","Sauce Demo SmokeTest","Thu Dec 12 16:50:54 GMT 2024","passed","Thu Dec 12 16:50:55 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addMultipleItems"
"Проверка кнопки Continue Shopping","1130","Check that click on Continue Sopping Button leads to Main page","Sauce Demo SmokeTest","Thu Dec 12 16:51:08 GMT 2024","passed","Thu Dec 12 16:51:09 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","continueShopping"
"Цикл тестов LoginData с разными данными логин/пароль","2073","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:39 GMT 2024","passed","Thu Dec 12 16:50:41 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","test"
"Ввести невалидное имя пользователя","638","Ввести неправильное имя юзера","Sauce Demo SmokeTest","Thu Dec 12 16:50:52 GMT 2024","passed","Thu Dec 12 16:50:53 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkIncorrectUserNameDuringLogin"
"Проверка добавления нескольких товаров в корзину","1025","Add multiple products to the cart","Sauce Demo SmokeTest","Thu Dec 12 16:51:03 GMT 2024","passed","Thu Dec 12 16:51:04 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addMultipleItems"
"Проверка удаления товара из корзины","10864","Remove 1 product from the cart","Sauce Demo SmokeTest","Thu Dec 12 16:50:41 GMT 2024","passed","Thu Dec 12 16:50:52 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","removeItemFromCart"
"Цикл тестов LoginData с разными данными логин/пароль","2571","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:31 GMT 2024","passed","Thu Dec 12 16:50:33 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Проверка добавления товара в корзину по цене товара","1029","Check added products by price","Sauce Demo SmokeTest","Thu Dec 12 16:50:53 GMT 2024","passed","Thu Dec 12 16:50:54 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addToCartAndCheckByPrice"
